timestamp(s),base_x,base_y,base_z,robot_x_dir_x,robot_x_dir_y,robot_x_dir_z,FL_x,FL_y,FR_x,FR_y,RL_x,RL_y,RR_x,RR_y,FL_contact,FR_contact,RL_contact,RR_contact
0.0181,-0.0106,-0.0003,0.4178,0.9998,-0.0013,-0.022,0.1985,0.1684,0.1238,-0.1708,-0.2912,0.1563,-0.3744,-0.1698,0,0,0,0
0.0702,-0.0153,-0.0003,0.4122,0.9995,-0.0018,-0.0308,0.1294,0.1335,0.1301,-0.1507,-0.3253,0.1417,-0.3509,-0.1462,0,0,0,0
0.0786,-0.0201,-0.0007,0.402,0.9993,0.0036,-0.0378,0.0613,0.098,0.1457,-0.1372,-0.3469,0.1349,-0.3418,-0.1116,0,0,0,0
0.0877,-0.0257,-0.0012,0.3866,0.9986,0.0133,-0.0512,0.0406,0.0859,0.1814,-0.1413,-0.3418,0.1433,-0.332,-0.0815,1,0,0,0
0.0963,-0.0307,-0.0019,0.3698,0.9979,0.0204,-0.0608,0.039,0.086,0.2146,-0.1475,-0.3314,0.1508,-0.3379,-0.0767,1,0,0,1
0.1056,-0.0337,-0.0026,0.3556,0.9968,0.0241,-0.0767,0.0379,0.0861,0.2187,-0.1487,-0.3281,0.1426,-0.3389,-0.0769,1,1,0,1
0.1148,-0.0341,-0.003,0.3445,0.9963,0.0251,-0.0817,0.0373,0.0862,0.2177,-0.1487,-0.3453,0.1294,-0.3394,-0.077,1,1,0,1
0.1241,-0.0319,-0.0029,0.3369,0.9968,0.0254,-0.0752,0.0373,0.0863,0.2172,-0.1486,-0.3454,0.1293,-0.3397,-0.0771,1,1,1,1
0.1341,-0.027,-0.003,0.3326,0.9974,0.0261,-0.0666,0.0377,0.0863,0.2173,-0.1486,-0.3453,0.1293,-0.3396,-0.0772,1,1,1,1
0.1451,-0.0199,-0.0033,0.33,0.9981,0.0264,-0.055,0.0383,0.0863,0.2177,-0.1487,-0.345,0.1293,-0.3393,-0.0774,1,1,1,1
0.1597,-0.0116,-0.0037,0.3281,0.9987,0.0263,-0.0435,0.0392,0.0862,0.2182,-0.1487,-0.3445,0.1293,-0.3388,-0.0774,1,1,1,1
0.182,-0.0026,-0.004,0.3265,0.9991,0.0258,-0.0337,0.04,0.0862,0.2187,-0.1488,-0.3438,0.1292,-0.3382,-0.0775,1,1,1,1
