timestamp(s),base_x,base_y,base_z,robot_x_dir_x,robot_x_dir_y,robot_x_dir_z,FL_x,FL_y,FR_x,FR_y,RL_x,RL_y,RR_x,RR_y,FL_contact,FR_contact,RL_contact,RR_contact
0.0188,3.5046,3.9758,0.7837,0.9996,-0.0105,-0.0275,3.734,4.1474,3.6368,3.7887,3.2169,4.1201,3.1124,3.7883,0,0,0,0
0.0661,3.5096,3.9748,0.7825,0.9985,-0.0191,-0.0517,3.7151,4.1319,3.6684,3.7845,3.1954,4.0919,3.1684,3.7998,0,0,0,0
0.0784,3.5144,3.9737,0.7776,0.997,-0.023,-0.0736,3.6881,4.1213,3.695,3.7673,3.179,4.0752,3.2107,3.8182,0,0,0,0
0.09,3.5189,3.9722,0.7684,0.9948,-0.0249,-0.0988,3.6706,4.1211,3.7231,3.7558,3.173,4.0689,3.2427,3.831,0,0,0,0
0.1013,3.5229,3.9707,0.755,0.992,-0.026,-0.1236,3.6699,4.1211,3.7445,3.7499,3.1847,4.0647,3.2859,3.8378,0,0,0,0
0.1145,3.5272,3.9693,0.7376,0.9894,-0.0256,-0.143,3.6821,4.1145,3.7519,3.7509,3.2099,4.0582,3.3134,3.8372,0,0,0,0
0.1288,3.5318,3.968,0.7162,0.9873,-0.0237,-0.1568,3.7028,4.1029,3.7489,3.7556,3.2332,4.0461,3.3209,3.835,0,0,0,0
0.1427,3.5368,3.9668,0.6909,0.9855,-0.0219,-0.1683,3.7147,4.0969,3.7467,3.7589,3.2477,4.0324,3.3175,3.8349,1,0,1,0
0.158,3.543,3.9648,0.6685,0.981,-0.0203,-0.1927,3.7133,4.0967,3.7274,3.7627,3.2472,4.0321,3.3153,3.8358,1,1,1,1
0.1741,3.5494,3.9631,0.6537,0.9751,-0.0219,-0.2206,3.7124,4.0966,3.7263,3.7628,3.247,4.0321,3.3151,3.8357,1,1,1,1
0.1901,3.5565,3.9619,0.6446,0.9705,-0.0254,-0.2398,3.7122,4.0965,3.726,3.7629,3.2473,4.0321,3.3152,3.8356,1,1,1,1
0.2114,3.5648,3.961,0.6384,0.9668,-0.0292,-0.2537,3.7124,4.0964,3.726,3.7628,3.2478,4.0321,3.3156,3.8356,1,1,1,1
0.2268,3.574,3.9602,0.6331,0.9645,-0.0325,-0.2622,3.7129,4.0963,3.7262,3.7628,3.2486,4.0321,3.3115,3.8226,1,1,1,0
0.2408,3.5834,3.9593,0.6272,0.9637,-0.0353,-0.2647,3.7135,4.0963,3.7266,3.7628,3.2491,4.0322,3.3142,3.7964,1,1,1,0
0.2557,3.5926,3.958,0.6209,0.9639,-0.0377,-0.2638,3.7141,4.0961,3.7271,3.7628,3.2496,4.0323,3.3253,3.7676,1,1,1,0
0.2706,3.6015,3.9565,0.6143,0.9646,-0.0397,-0.2609,3.7148,4.096,3.7276,3.7627,3.25,4.0323,3.3418,3.7422,1,1,1,0
0.2855,3.6102,3.9545,0.6078,0.9655,-0.0417,-0.2571,3.7155,4.0958,3.7282,3.7626,3.2504,4.0323,3.3613,3.7221,1,1,1,0
0.3005,3.6187,3.9523,0.6014,0.9665,-0.0441,-0.2529,3.7162,4.0956,3.7288,3.7625,3.2509,4.0323,3.3827,3.7067,1,1,1,0
0.3171,3.6271,3.9497,0.5951,0.9675,-0.0468,-0.2485,3.717,4.0953,3.7293,3.7623,3.2514,4.0323,3.4056,3.6942,1,1,1,0
0.3388,3.6354,3.9469,0.5889,0.9685,-0.0496,-0.2439,3.7178,4.0951,3.73,3.7621,3.252,4.0323,3.4292,3.6831,1,1,1,0
0.3589,3.6437,3.944,0.5827,0.9695,-0.0522,-0.2393,3.7186,4.0948,3.7306,3.7619,3.2525,4.0323,3.4528,3.673,1,1,1,0
0.3791,3.6519,3.9409,0.5766,0.9705,-0.0545,-0.2348,3.7194,4.0945,3.7314,3.7616,3.2531,4.0322,3.4759,3.6634,1,1,1,0
0.3998,3.6602,3.9376,0.5706,0.9715,-0.0564,-0.2302,3.7203,4.0941,3.7321,3.7613,3.2538,4.0322,3.498,3.6543,1,1,1,0
0.4199,3.6685,3.9342,0.5648,0.9726,-0.0582,-0.2252,3.7212,4.0938,3.733,3.7611,3.2544,4.0321,3.5188,3.6456,1,1,1,0
0.4403,3.6769,3.9307,0.5593,0.9737,-0.0597,-0.2198,3.7221,4.0934,3.7338,3.7608,3.2551,4.032,3.5381,3.6374,1,1,1,0
0.4626,3.6852,3.927,0.5543,0.975,-0.061,-0.2138,3.723,4.093,3.7347,3.7604,3.2559,4.0319,3.5556,3.6298,1,1,1,0
0.4834,3.6936,3.9232,0.5498,0.9763,-0.0624,-0.2074,3.7239,4.0925,3.7357,3.76,3.2594,4.0318,3.5712,3.6229,1,1,1,0
0.5032,3.7021,3.9191,0.546,0.9775,-0.0638,-0.2012,3.7248,4.0921,3.7366,3.7596,3.2645,4.0314,3.5851,3.6165,1,1,1,0
0.5287,3.7107,3.9149,0.543,0.9786,-0.0652,-0.1951,3.7258,4.0916,3.7376,3.7592,3.2709,4.0306,3.598,3.6104,1,1,1,0
0.5508,3.7196,3.9105,0.5408,0.9797,-0.0668,-0.1892,3.7267,4.0911,3.7386,3.7588,3.2876,4.0289,3.6104,3.6044,1,1,1,0
0.5726,3.7288,3.9061,0.5395,0.9803,-0.0685,-0.1853,3.7277,4.0907,3.7396,3.7583,3.3134,4.0245,3.6235,3.5995,1,1,1,0
0.5963,3.7383,3.9018,0.5386,0.9801,-0.07,-0.1856,3.7286,4.0903,3.7405,3.7579,3.3503,4.0168,3.638,3.5965,1,1,1,0
0.6174,3.7478,3.8983,0.5376,0.979,-0.0706,-0.191,3.7295,4.09,3.7415,3.7575,3.4066,4.0049,3.6555,3.5937,1,1,0,0
0.6347,3.7578,3.8959,0.5364,0.977,-0.0702,-0.2014,3.7316,4.0875,3.7425,3.7573,3.4901,3.9822,3.6769,3.5928,1,1,0,0
0.6555,3.7683,3.8948,0.5347,0.976,-0.071,-0.2058,3.7546,4.0531,3.7435,3.7571,3.563,3.9515,3.7026,3.5907,0,1,0,0
0.6769,3.7792,3.895,0.5313,0.9766,-0.0708,-0.2031,3.7994,4.0012,3.7446,3.757,3.6252,3.9208,3.7227,3.5888,1,1,0,0
0.697,3.7893,3.8957,0.5244,0.9757,-0.0685,-0.2082,3.8645,3.9835,3.7779,3.7585,3.6777,3.8985,3.729,3.595,0,1,0,0
0.7198,3.7988,3.8951,0.5173,0.9766,-0.0632,-0.2054,3.8664,3.9835,3.7887,3.7575,3.7082,3.8854,3.7242,3.5886,1,1,0,0
0.7416,3.8078,3.8932,0.5115,0.9797,-0.0573,-0.1921,3.8677,3.9837,3.7905,3.7567,3.7187,3.8796,3.7173,3.5848,1,1,0,0
0.7683,3.8158,3.8901,0.5056,0.983,-0.0534,-0.1757,3.8688,3.9836,3.7949,3.7556,3.7212,3.8806,3.716,3.5859,1,1,0,1
0.7924,3.8228,3.8863,0.4997,0.9854,-0.0556,-0.161,3.8698,3.9834,3.8181,3.7519,3.7204,3.8841,3.7154,3.5859,1,0,1,1
0.8172,3.8295,3.8824,0.4946,0.9872,-0.0587,-0.1486,3.8708,3.9831,3.8235,3.7504,3.7199,3.8843,3.7149,3.586,1,1,1,1
0.8413,3.8356,3.8782,0.4903,0.988,-0.0634,-0.1408,3.8717,3.9826,3.8253,3.7497,3.7196,3.8845,3.7145,3.586,1,1,1,1
0.8642,3.8417,3.8739,0.4875,0.988,-0.0695,-0.1376,3.8724,3.9821,3.826,3.7491,3.7197,3.8844,3.7145,3.5856,1,1,1,1
0.8874,3.8483,3.8698,0.4859,0.9879,-0.0748,-0.1356,3.8731,3.9816,3.8267,3.7485,3.7199,3.8844,3.7196,3.5784,1,1,1,0
0.9061,3.8556,3.8666,0.4851,0.988,-0.0775,-0.1339,3.8737,3.9811,3.8273,3.7477,3.7198,3.8848,3.7361,3.5671,1,1,1,0
0.9268,3.8637,3.8646,0.4848,0.988,-0.0782,-0.133,3.8744,3.9809,3.8279,3.7473,3.7203,3.8849,3.7635,3.5578,1,1,1,0
0.9486,3.8729,3.8636,0.4848,0.9882,-0.0768,-0.1323,3.8751,3.9808,3.8286,3.7471,3.721,3.885,3.7973,3.551,1,1,1,0
0.9701,3.883,3.8642,0.4848,0.9885,-0.0728,-0.1325,3.8767,3.9801,3.8294,3.7471,3.7229,3.8831,3.8309,3.546,1,1,1,0
0.9904,3.8933,3.8665,0.4843,0.9887,-0.0652,-0.1351,3.9149,3.9713,3.8302,3.7474,3.7369,3.8852,3.8588,3.5436,0,1,0,0
1.0135,3.9031,3.8696,0.4816,0.987,-0.0598,-0.1494,3.9769,3.9656,3.846,3.7462,3.7591,3.8883,3.8767,3.556,0,1,0,0
1.0352,3.9122,3.8706,0.4806,0.9855,-0.0592,-0.1588,3.9779,3.9673,3.8977,3.745,3.7839,3.8849,3.8778,3.5615,1,0,0,1
1.0545,3.9218,3.8686,0.4809,0.9868,-0.0573,-0.1516,3.9787,3.9671,3.9476,3.7341,3.8043,3.88,3.878,3.5614,1,1,1,1
1.0773,3.9308,3.8656,0.4811,0.9881,-0.0555,-0.1433,3.9795,3.9668,3.9784,3.7251,3.8056,3.8804,3.8778,3.5615,1,0,1,1
1.0993,3.9388,3.8625,0.4815,0.9883,-0.0561,-0.1417,3.9803,3.9662,3.9922,3.7213,3.806,3.8803,3.8866,3.5693,1,0,1,0
1.1164,3.9465,3.8596,0.4818,0.9877,-0.0584,-0.1452,3.981,3.9657,3.9929,3.7208,3.8065,3.8804,3.9053,3.579,1,1,1,0
1.1378,3.9544,3.8571,0.4821,0.9867,-0.0606,-0.1506,3.9818,3.9652,3.9938,3.7205,3.8071,3.8804,3.9281,3.5859,1,1,1,0
1.1592,3.9628,3.855,0.4822,0.9858,-0.062,-0.1558,3.9826,3.9649,3.9947,3.7202,3.8078,3.8805,3.9511,3.5887,1,1,1,0
1.1806,3.9717,3.853,0.4821,0.9851,-0.0625,-0.1601,3.9834,3.9647,3.9956,3.72,3.8087,3.8805,3.9721,3.5875,1,1,1,0
1.2026,3.981,3.8514,0.482,0.9846,-0.0621,-0.1634,3.9841,3.9646,3.9966,3.7198,3.8097,3.8805,3.9897,3.5829,1,1,1,0
1.2234,3.9907,3.8499,0.482,0.9842,-0.0608,-0.166,3.9848,3.9645,3.9976,3.7197,3.8108,3.8804,4.0033,3.5762,1,1,1,0
1.2478,4.0008,3.8488,0.4822,0.9839,-0.059,-0.1689,3.9856,3.9645,3.9985,3.7196,3.8132,3.8795,4.0133,3.5683,1,1,1,0
1.2701,4.0114,3.8484,0.4826,0.9832,-0.0569,-0.1734,3.9864,3.9644,3.9995,3.7195,3.8185,3.877,4.0206,3.56,1,1,1,0
1.2917,4.0223,3.8492,0.4828,0.982,-0.0537,-0.1812,3.9881,3.9641,4.0004,3.7196,3.8269,3.8717,4.0267,3.5517,1,1,1,0
1.3109,4.0331,3.8516,0.4827,0.9804,-0.0483,-0.1908,4.0164,3.956,4.0015,3.7197,3.844,3.8635,4.0341,3.5443,1,1,1,0
1.3307,4.0433,3.8553,0.4811,0.9774,-0.0424,-0.2073,4.0484,3.9507,4.0026,3.7201,3.8719,3.8574,4.0406,3.544,1,1,0,0
1.352,4.0521,3.8597,0.4772,0.9722,-0.0385,-0.2311,4.0649,3.9507,4.0534,3.7215,3.9052,3.8538,4.0391,3.5471,1,0,0,0
1.3729,4.0603,3.8618,0.4769,0.972,-0.033,-0.2327,4.0656,3.9512,4.1199,3.7211,3.9325,3.8527,4.0354,3.5505,1,0,1,0
1.3942,4.0672,3.8614,0.4804,0.9745,-0.0265,-0.2226,4.0655,3.9509,4.1727,3.7219,3.9409,3.8519,4.0417,3.5601,1,1,1,0
1.4205,4.0737,3.8596,0.4841,0.9764,-0.0238,-0.2144,4.0654,3.9505,4.1759,3.724,3.9412,3.8513,4.0562,3.5757,1,1,1,0
1.4425,4.0805,3.8573,0.487,0.9769,-0.0233,-0.2124,4.0656,3.9498,4.1767,3.7238,3.9417,3.8507,4.073,3.5905,1,1,1,0
1.4574,4.0876,3.855,0.489,0.9765,-0.0243,-0.2143,4.0659,3.9492,4.1776,3.7235,3.9424,3.8502,4.0905,3.6009,1,1,1,0
1.4772,4.0953,3.8528,0.4902,0.9758,-0.0262,-0.2172,4.0663,3.9487,4.1785,3.7231,3.9431,3.8498,4.1078,3.605,1,1,1,0
1.4995,4.1034,3.8506,0.4908,0.9752,-0.0283,-0.2195,4.0668,3.9484,4.1795,3.7229,3.9438,3.8495,4.1234,3.6031,1,1,1,0
1.5154,4.1121,3.8486,0.491,0.9748,-0.03,-0.2211,4.0674,3.9481,4.1805,3.7226,3.9446,3.8492,4.1366,3.5966,1,1,1,0
1.534,4.1212,3.8466,0.491,0.9745,-0.0312,-0.2221,4.068,3.9478,4.1816,3.7224,3.9454,3.849,4.1473,3.5873,1,1,1,0
1.5555,4.1307,3.8448,0.4909,0.9743,-0.0318,-0.223,4.0686,3.9476,4.1826,3.7222,3.9463,3.8488,4.1559,3.5769,1,1,1,0
1.5784,4.1405,3.8432,0.4909,0.974,-0.032,-0.2241,4.0692,3.9473,4.1838,3.7221,3.9473,3.8485,4.1635,3.5666,1,1,1,0
1.5973,4.1507,3.8424,0.4908,0.9737,-0.0316,-0.2257,4.0699,3.9471,4.1849,3.7221,3.9485,3.8481,4.171,3.5566,1,1,1,0
1.6174,4.1609,3.8427,0.4905,0.9732,-0.0301,-0.2279,4.0787,3.9448,4.186,3.7222,3.9505,3.8467,4.1794,3.5463,1,1,1,0
1.6396,4.1709,3.8445,0.4902,0.9735,-0.0259,-0.2272,4.1311,3.9357,4.1871,3.7224,3.9577,3.8402,4.1905,3.5376,0,1,1,0
1.66,4.1813,3.8479,0.4892,0.973,-0.0251,-0.2296,4.2192,3.9302,4.1882,3.7226,3.9848,3.8325,4.2017,3.5383,0,1,0,0
1.6807,4.1918,3.8521,0.487,0.9707,-0.0303,-0.2383,4.2351,3.9298,4.2368,3.7164,4.0242,3.8287,4.2,3.5367,1,0,1,0
1.7087,4.2015,3.8544,0.4875,0.9708,-0.031,-0.2379,4.2359,3.9301,4.2886,3.7117,4.0507,3.8287,4.1916,3.5407,1,0,1,0
1.7267,4.2105,3.8551,0.4893,0.9728,-0.0282,-0.2301,4.2364,3.9305,4.3231,3.7147,4.0644,3.8267,4.1896,3.5521,1,0,1,0
1.7494,4.2188,3.8546,0.4906,0.9741,-0.0261,-0.2244,4.2369,3.9305,4.3322,3.7187,4.0654,3.826,4.198,3.5674,1,0,1,0
1.7708,4.2268,3.8531,0.4909,0.9741,-0.0272,-0.2244,4.2375,3.9304,4.3327,3.7191,4.0657,3.8257,4.2119,3.5836,1,1,1,0
1.7868,4.2348,3.8513,0.4905,0.9735,-0.0296,-0.2269,4.2382,3.9302,4.3338,3.7189,4.0661,3.8255,4.228,3.594,1,1,1,0
1.8072,4.2424,3.8496,0.4902,0.9733,-0.0309,-0.2274,4.2388,3.9299,4.3348,3.7186,4.0665,3.8253,4.2445,3.5971,1,1,1,0
1.8298,4.2493,3.8479,0.4905,0.9743,-0.0302,-0.223,4.2393,3.9296,4.3357,3.7184,4.0667,3.8251,4.2602,3.595,1,1,1,0
1.8499,4.2564,3.846,0.4906,0.9752,-0.0301,-0.2194,4.2397,3.9293,4.3366,3.7182,4.067,3.8249,4.2745,3.5901,1,1,1,0
1.8677,4.264,3.8439,0.4905,0.9757,-0.0304,-0.2168,4.2403,3.929,4.3375,3.718,4.0674,3.8247,4.287,3.5832,1,1,1,0
1.8835,4.2721,3.8417,0.4906,0.9762,-0.0307,-0.2145,4.2408,3.9286,4.3385,3.7177,4.068,3.8245,4.2977,3.5755,1,1,1,0
1.9006,4.2807,3.8394,0.4909,0.9768,-0.0307,-0.212,4.2415,3.9281,4.3396,3.7175,4.0691,3.8242,4.3067,3.5679,1,1,1,0
1.9251,4.2897,3.8373,0.4915,0.9774,-0.0307,-0.2091,4.2421,3.9277,4.3406,3.7173,4.0731,3.8236,4.3145,3.5607,1,1,1,0
1.9466,4.2993,3.8356,0.4922,0.9781,-0.0308,-0.2058,4.2427,3.9275,4.3416,3.7171,4.0813,3.8213,4.3217,3.5538,1,1,1,0
1.9691,4.3092,3.8343,0.4927,0.9788,-0.0305,-0.2025,4.2434,3.9272,4.3426,3.7169,4.0932,3.8174,4.3291,3.5469,1,1,1,0
1.9908,4.3191,3.8339,0.4926,0.9793,-0.0294,-0.2001,4.2441,3.9271,4.3436,3.7168,4.1053,3.8104,4.3381,3.54,1,1,1,0
2.0119,4.3287,3.8348,0.492,0.9801,-0.026,-0.1967,4.272,3.9188,4.3446,3.7169,4.1184,3.7984,4.3503,3.5337,1,1,1,0
2.033,4.3378,3.837,0.4903,0.981,-0.0212,-0.1928,4.3407,3.91,4.3455,3.717,4.1477,3.7903,4.3634,3.5301,0,1,0,0
2.0534,4.3458,3.8399,0.4868,0.981,-0.0239,-0.1925,4.3838,3.9088,4.3757,3.7116,4.1927,3.7919,4.3685,3.5334,1,1,0,0
2.0694,4.3524,3.8417,0.4853,0.9838,-0.0242,-0.1776,4.3843,3.9095,4.3893,3.7078,4.227,3.7991,4.3662,3.5358,1,1,0,0
2.0874,4.3582,3.842,0.4849,0.9872,-0.0222,-0.1582,4.3846,3.9095,4.4135,3.7015,4.2344,3.8001,4.3556,3.5384,1,0,1,0
2.1065,4.364,3.8417,0.4852,0.9893,-0.0211,-0.1443,4.385,3.9094,4.4372,3.6986,4.2343,3.8002,4.3486,3.547,1,1,1,0
