timestamp(s),base_x,base_y,base_z,robot_x_dir_x,robot_x_dir_y,robot_x_dir_z,FL_x,FL_y,FR_x,FR_y,RL_x,RL_y,RR_x,RR_y,FL_contact,FR_contact,RL_contact,RR_contact
0.0189,3.5046,3.9758,0.7837,0.9996,-0.0105,-0.0275,3.734,4.1474,3.6368,3.7887,3.2169,4.1201,3.1124,3.7883,0,0,0,0
0.0729,3.5096,3.9748,0.7825,0.9985,-0.0191,-0.0517,3.7151,4.1319,3.6684,3.7845,3.1954,4.0919,3.1684,3.7998,0,0,0,0
0.0832,3.5144,3.9737,0.7776,0.997,-0.023,-0.0736,3.6881,4.1213,3.695,3.7673,3.179,4.0752,3.2107,3.8182,0,0,0,0
0.094,3.5189,3.9722,0.7684,0.9948,-0.0249,-0.0988,3.6706,4.1211,3.7231,3.7558,3.173,4.0689,3.2427,3.831,0,0,0,0
0.1057,3.5229,3.9707,0.755,0.992,-0.026,-0.1236,3.6699,4.1211,3.7445,3.7499,3.1847,4.0647,3.2859,3.8378,0,0,0,0
0.1166,3.5272,3.9693,0.7376,0.9894,-0.0256,-0.143,3.6821,4.1145,3.7519,3.7509,3.2099,4.0582,3.3134,3.8372,0,0,0,0
0.1285,3.5318,3.968,0.7162,0.9873,-0.0237,-0.1568,3.7028,4.1029,3.7489,3.7556,3.2332,4.0461,3.3209,3.835,0,0,0,0
0.1419,3.5368,3.9668,0.6909,0.9855,-0.0219,-0.1683,3.7147,4.0969,3.7467,3.7589,3.2477,4.0324,3.3175,3.8349,1,0,1,0
0.1569,3.543,3.9648,0.6685,0.981,-0.0203,-0.1927,3.7133,4.0967,3.7274,3.7627,3.2472,4.0321,3.3153,3.8358,1,1,1,1
0.1715,3.5494,3.9631,0.6537,0.9751,-0.0219,-0.2206,3.7124,4.0966,3.7263,3.7628,3.247,4.0321,3.3151,3.8357,1,1,1,1
0.1878,3.5565,3.9619,0.6446,0.9705,-0.0254,-0.2398,3.7122,4.0965,3.726,3.7629,3.2473,4.0321,3.3152,3.8356,1,1,1,1
0.2086,3.5648,3.961,0.6384,0.9668,-0.0292,-0.2537,3.7124,4.0964,3.726,3.7628,3.2478,4.0321,3.3156,3.8356,1,1,1,1
0.2295,3.574,3.9602,0.6331,0.9645,-0.0325,-0.2622,3.7129,4.0963,3.7262,3.7628,3.2486,4.0321,3.3115,3.8226,1,1,1,0
0.2489,3.5834,3.9593,0.6272,0.9637,-0.0353,-0.2647,3.7135,4.0963,3.7266,3.7628,3.2491,4.0322,3.3142,3.7964,1,1,1,0
0.2705,3.5926,3.958,0.6209,0.9639,-0.0377,-0.2638,3.7141,4.0961,3.7271,3.7628,3.2496,4.0323,3.3253,3.7676,1,1,1,0
0.2935,3.6015,3.9565,0.6143,0.9646,-0.0397,-0.2609,3.7148,4.096,3.7276,3.7627,3.25,4.0323,3.3418,3.7422,1,1,1,0
0.3093,3.6102,3.9545,0.6078,0.9655,-0.0417,-0.2571,3.7155,4.0958,3.7282,3.7626,3.2504,4.0323,3.3613,3.7221,1,1,1,0
0.3292,3.6187,3.9523,0.6014,0.9665,-0.0441,-0.2529,3.7162,4.0956,3.7288,3.7625,3.2509,4.0323,3.3827,3.7067,1,1,1,0
0.3528,3.6271,3.9497,0.5951,0.9675,-0.0468,-0.2485,3.717,4.0953,3.7293,3.7623,3.2514,4.0323,3.4056,3.6942,1,1,1,0
0.3681,3.6354,3.9469,0.5889,0.9685,-0.0496,-0.2439,3.7178,4.0951,3.73,3.7621,3.252,4.0323,3.4292,3.6831,1,1,1,0
0.3828,3.6437,3.944,0.5827,0.9695,-0.0522,-0.2393,3.7186,4.0948,3.7306,3.7619,3.2525,4.0323,3.4528,3.673,1,1,1,0
0.398,3.6519,3.9409,0.5766,0.9705,-0.0545,-0.2348,3.7194,4.0945,3.7314,3.7616,3.2531,4.0322,3.4759,3.6634,1,1,1,0
0.4179,3.6602,3.9376,0.5706,0.9715,-0.0564,-0.2302,3.7203,4.0941,3.7321,3.7613,3.2538,4.0322,3.498,3.6543,1,1,1,0
0.4339,3.6685,3.9342,0.5648,0.9726,-0.0582,-0.2252,3.7212,4.0938,3.733,3.7611,3.2544,4.0321,3.5188,3.6456,1,1,1,0
0.4491,3.6769,3.9307,0.5593,0.9737,-0.0597,-0.2198,3.7221,4.0934,3.7338,3.7608,3.2551,4.032,3.5381,3.6374,1,1,1,0
0.4648,3.6852,3.927,0.5543,0.975,-0.061,-0.2138,3.723,4.093,3.7347,3.7604,3.2559,4.0319,3.5556,3.6298,1,1,1,0
0.481,3.6936,3.9232,0.5498,0.9763,-0.0624,-0.2074,3.7239,4.0925,3.7357,3.76,3.2594,4.0318,3.5712,3.6229,1,1,1,0
0.5029,3.7021,3.9191,0.546,0.9775,-0.0638,-0.2012,3.7248,4.0921,3.7366,3.7596,3.2645,4.0314,3.5851,3.6165,1,1,1,0
0.5247,3.7107,3.9149,0.543,0.9786,-0.0652,-0.1951,3.7258,4.0916,3.7376,3.7592,3.2709,4.0306,3.598,3.6104,1,1,1,0
0.546,3.7196,3.9105,0.5408,0.9797,-0.0668,-0.1892,3.7267,4.0911,3.7386,3.7588,3.2876,4.0289,3.6104,3.6044,1,1,1,0
0.5668,3.7288,3.9061,0.5395,0.9803,-0.0685,-0.1853,3.7277,4.0907,3.7396,3.7583,3.3134,4.0245,3.6235,3.5995,1,1,1,0
0.5834,3.7383,3.9018,0.5386,0.9801,-0.07,-0.1856,3.7286,4.0903,3.7405,3.7579,3.3503,4.0168,3.638,3.5965,1,1,1,0
0.6051,3.7478,3.8983,0.5376,0.979,-0.0706,-0.191,3.7295,4.09,3.7415,3.7575,3.4066,4.0049,3.6555,3.5937,1,1,0,0
0.6259,3.7578,3.8959,0.5364,0.977,-0.0702,-0.2014,3.7316,4.0875,3.7425,3.7573,3.4901,3.9822,3.6769,3.5928,1,1,0,0
0.6463,3.7683,3.8948,0.5347,0.976,-0.071,-0.2058,3.7546,4.0531,3.7435,3.7571,3.563,3.9515,3.7026,3.5907,0,1,0,0
0.6626,3.7792,3.895,0.5313,0.9766,-0.0708,-0.2031,3.7994,4.0012,3.7446,3.757,3.6252,3.9208,3.7227,3.5888,1,1,0,0
0.6828,3.7893,3.8957,0.5244,0.9757,-0.0685,-0.2082,3.8645,3.9835,3.7779,3.7585,3.6777,3.8985,3.729,3.595,0,1,0,0
0.7044,3.7988,3.8951,0.5173,0.9766,-0.0632,-0.2054,3.8664,3.9835,3.7887,3.7575,3.7082,3.8854,3.7242,3.5886,1,1,0,0
0.7248,3.8078,3.8932,0.5115,0.9797,-0.0573,-0.1921,3.8677,3.9837,3.7905,3.7567,3.7187,3.8796,3.7173,3.5848,1,1,0,0
0.7461,3.8158,3.8901,0.5056,0.983,-0.0534,-0.1757,3.8688,3.9836,3.7949,3.7556,3.7212,3.8806,3.716,3.5859,1,1,0,1
0.7681,3.8228,3.8863,0.4997,0.9854,-0.0556,-0.161,3.8698,3.9834,3.8181,3.7519,3.7204,3.8841,3.7154,3.5859,1,0,1,1
0.7848,3.8295,3.8824,0.4946,0.9872,-0.0587,-0.1486,3.8708,3.9831,3.8235,3.7504,3.7199,3.8843,3.7149,3.586,1,1,1,1
0.8008,3.8356,3.8782,0.4903,0.988,-0.0634,-0.1408,3.8717,3.9826,3.8253,3.7497,3.7196,3.8845,3.7145,3.586,1,1,1,1
0.8208,3.8417,3.8739,0.4875,0.988,-0.0695,-0.1376,3.8724,3.9821,3.826,3.7491,3.7197,3.8844,3.7145,3.5856,1,1,1,1
0.8435,3.8483,3.8698,0.4859,0.9879,-0.0748,-0.1356,3.8731,3.9816,3.8267,3.7485,3.7199,3.8844,3.7196,3.5784,1,1,1,0
0.8621,3.8556,3.8666,0.4851,0.988,-0.0775,-0.1339,3.8737,3.9811,3.8273,3.7477,3.7198,3.8848,3.7361,3.5671,1,1,1,0
0.8832,3.8637,3.8646,0.4848,0.988,-0.0782,-0.133,3.8744,3.9809,3.8279,3.7473,3.7203,3.8849,3.7635,3.5578,1,1,1,0
0.9102,3.8729,3.8636,0.4848,0.9882,-0.0768,-0.1323,3.8751,3.9808,3.8286,3.7471,3.721,3.885,3.7973,3.551,1,1,1,0
0.927,3.883,3.8642,0.4848,0.9885,-0.0728,-0.1325,3.8767,3.9801,3.8294,3.7471,3.7229,3.8831,3.8309,3.546,1,1,1,0
0.9497,3.8933,3.8665,0.4843,0.9887,-0.0652,-0.1351,3.9149,3.9713,3.8302,3.7474,3.7369,3.8852,3.8588,3.5436,0,1,0,0
0.9713,3.9031,3.8696,0.4816,0.987,-0.0598,-0.1494,3.9769,3.9656,3.846,3.7462,3.7591,3.8883,3.8767,3.556,0,1,0,0
0.9925,3.9122,3.8706,0.4806,0.9855,-0.0592,-0.1588,3.9779,3.9673,3.8977,3.745,3.7839,3.8849,3.8778,3.5615,1,0,0,1
1.0155,3.9218,3.8686,0.4809,0.9868,-0.0573,-0.1516,3.9787,3.9671,3.9476,3.7341,3.8043,3.88,3.878,3.5614,1,1,1,1
1.0377,3.9308,3.8656,0.4811,0.9881,-0.0555,-0.1433,3.9795,3.9668,3.9784,3.7251,3.8056,3.8804,3.8778,3.5615,1,0,1,1
1.0554,3.9388,3.8625,0.4815,0.9883,-0.0561,-0.1417,3.9803,3.9662,3.9922,3.7213,3.806,3.8803,3.8866,3.5693,1,0,1,0
1.0733,3.9465,3.8596,0.4818,0.9877,-0.0584,-0.1452,3.981,3.9657,3.9929,3.7208,3.8065,3.8804,3.9053,3.579,1,1,1,0
1.091,3.9544,3.8571,0.4821,0.9867,-0.0606,-0.1506,3.9818,3.9652,3.9938,3.7205,3.8071,3.8804,3.9281,3.5859,1,1,1,0
1.108,3.9628,3.855,0.4822,0.9858,-0.062,-0.1558,3.9826,3.9649,3.9947,3.7202,3.8078,3.8805,3.9511,3.5887,1,1,1,0
1.1221,3.9717,3.853,0.4821,0.9851,-0.0625,-0.1601,3.9834,3.9647,3.9956,3.72,3.8087,3.8805,3.9721,3.5875,1,1,1,0
1.1506,3.981,3.8514,0.482,0.9846,-0.0621,-0.1634,3.9841,3.9646,3.9966,3.7198,3.8097,3.8805,3.9897,3.5829,1,1,1,0
1.1699,3.9907,3.8499,0.482,0.9842,-0.0608,-0.166,3.9848,3.9645,3.9976,3.7197,3.8108,3.8804,4.0033,3.5762,1,1,1,0
1.1908,4.0008,3.8488,0.4822,0.9839,-0.059,-0.1689,3.9856,3.9645,3.9985,3.7196,3.8132,3.8795,4.0133,3.5683,1,1,1,0
1.2099,4.0114,3.8484,0.4826,0.9832,-0.0569,-0.1734,3.9864,3.9644,3.9995,3.7195,3.8185,3.877,4.0206,3.56,1,1,1,0
1.2331,4.0223,3.8492,0.4828,0.982,-0.0537,-0.1812,3.9881,3.9641,4.0004,3.7196,3.8269,3.8717,4.0267,3.5517,1,1,1,0
1.2517,4.0331,3.8516,0.4827,0.9804,-0.0483,-0.1908,4.0164,3.956,4.0015,3.7197,3.844,3.8635,4.0341,3.5443,1,1,1,0
1.2799,4.0433,3.8553,0.4811,0.9774,-0.0424,-0.2073,4.0484,3.9507,4.0026,3.7201,3.8719,3.8574,4.0406,3.544,1,1,0,0
